label,message
1,Your KYC is incomplete. Update now to avoid account freeze: http://verify-bank-details.info
0,Access your Bandhan Bank account at www.bandhanbank.com
0,www.hdfc.com.
0,Welcome to IDFC FIRST Bank! Access your account here: www.idfcfirstbank.com
1,its not a scam 
1,Dear user you’ve received a cashback reward. Collect at rewardzone.click
1,Axis Bank Final reminder to claim ₹2000 cashback Visit http://axiscashbonus.in
0,Your Kotak bank e-statement is ready at www.kotak.com
1,IndusInd customer alert Unauthorized login detected Resolve at http://secure-indusind.cc
0,Check your UCO Bank balance at www.ucobank.com
0,Welcome to Nainital Bank. Access your account dashboard at www.nainitalbank.co.in
1,Your ICICI Bank A/C has been frozen Urgently verify your PAN here http://icici-check.net
0,Access your Equitas Small Finance Bank account at www.equitasbank.com
1,Its a scam man.
1,Kotak Lucky Draw Winner Claim your ₹50000 cash today Click http://kotak-wins.com
0,Utkarsh Small Finance Bank update: Your mobile banking is active. Visit www.utkarsh.bank
0,Your ICICI Bank Credit Card statement is generated for ₹4350 Due date 12-May-2025 Login to netbanking for details
0,We’ve updated your Canara Bank passbook. View it at www.canarabank.com
1,Your SBI account is on hold. Click here to unblock: sbi-security-check.com
0,Check your City Union Bank account summary at www.cityunionbank.com
0,Federal Bank Your Debit Card has been used for ₹720 at Amazon If not you call 1800-420-1199
0,Login securely to your IndusInd Bank account at www.indusind.com
1,Get free DTH recharge! Limited time offer. Redeem at: freeservice-now.com
1,You’ve been selected for a FREE loan offer! Apply now: fastloan.today
0,North East Small Finance Bank e-passbook is ready. Visit www.nesfb.com
0,Your A/C XX3421 is credited with ₹2000 on 03-May-2025 Avl Bal ₹15980 Thank you for banking with IDFC FIRST Bank
0,SBI Alert: Your profile was accessed from a new device. Review at www.onlinesbi.com
0,IndusInd Bank ₹3000 transferred to your A/C XX7865 via IMPS Avl Bal ₹42150
1,URGENT! Call now to claim reward!
0,Welcome to DCB Bank. View your recent transactions at www.dcbbank.com
0,Jana Small Finance Bank: Your savings account was credited. Login at www.janabank.com
0,Axis Bank alert: Your statement is available at https://www.axisbank.com
0,Dear Customer ₹8000 has been deposited in your HDFC Bank A/C XX1122 on 02-May-2025 Avl Bal ₹24120
0,Login to your HDFC NetBanking account securely via https://netbanking.hdfcbank.com
1,BOB Alert Your account is locked Verify at http://bobverify.info
1,Federal Bank You’ve won an iPhone 14 Fill your info here http://federalprizes.live
0,Your Union Bank of India mini-statement is available at www.unionbankofindia.co.in
0,AU Small Finance Bank alert: Your FD account has been renewed. Login at www.aubank.in
0,Your Tamilnad Mercantile Bank statement is now available at www.tmb.in
0,ESAF Bank update: Your account was accessed. Review at www.esafbank.com
0,Thank you for using Axis Bank UPI ₹1150 debited from A/C XX8721 UPI Ref 51326499822
0,BOB NetBanking login: https://www.bobibanking.com
0,Your ESAF Small Finance Bank loan statement is available at www.esafbank.com
1,Your YES BANK account is blocked Validate details now at http://yesbank-support.xyz
0,Rs2300 credited to your SBI account XX9900 on 01-May-2025 via NEFT Avl Bal ₹13700
1,URGENT: Your ATM card will be blocked! Verify immediately: scamupdate.net
0,Suryoday Bank: Your transaction was successful. View details at www.suryodaybank.com
1,Flipkart Mega Sale! Win an iPhone for ₹1 only. Claim now: click2win.in
0,Canara Bank Your OTP for net banking login is 239184 Do not share this with anyone
1,You won a free iPhone! Click here.
0,Karur Vysya Bank: New offers available in your netbanking portal at www.kvb.co.in
0,Hello! Your payment is successful.
0,BOB ₹15000 credited via NEFT to your A/C XX6677 on 03-May Avl Bal ₹39000
1,Final warning! Pay ₹199 now to avoid penalty. upi-secure.in/pay
1,Congratulations! You've won ₹50000. Click here to claim: bit.ly/cashprize
0,Your YES BANK A/C XX1221 is credited with ₹10000 on 03-May-2025 Avl Bal ₹28500
0,Check your Saraswat Bank balance at www.saraswatbank.com
1,Congratulations You won a ₹100000 HDFC gift Claim now http://hdfc-winner.cc
0,Download your Punjab National Bank e-passbook from www.pnbindia.in
0,South Indian Bank: Download your e-statement from www.southindianbank.com
0,Federal Bank: Monthly statement ready. Visit www.federalbank.co.in
1,Alert Your IDFC A/C will be suspended Click here to update KYC info http://idfc-verify.info
1,Claim your free Amazon gift card worth ₹5000 now! tinyurl.com/amzfree
0,Your RBL Bank credit card bill is ready. Pay at www.rblbank.com
1,Dear user your SBI account is under review Reactivate here http://sbi-update.co.in
0,Indian Bank: Your account is now KYC compliant. Know more at www.indianbank.in
0,Kotak Mahindra Bank ₹500 cashback credited to your 811 Wallet Offer valid till 30-April-2025
